cad_id,responding_units,priority,dispatch_precinct,Dispatch_Longitude,dispatch_latitude,CAD_Event_Original_Time_Queued,first_dispatch_delay,first_response_time,min_dispatch_delay,dispatch_neighborhood
2024000000800,2,1,NORTH,-122.36563809,47.66865279,"2024-01-01 20:24:01",131,516,131,"BALLARD SOUTH"
2024000000801,1,4,EAST,-122.3024338,47.60350724,"2024-01-01 20:25:02",10220,NULL,10220,"CENTRAL AREA/SQUIRE PARK"
2024000000802,1,3,WEST,-122.32505863,47.5983519,"2024-01-01 20:31:35",71,71,71,"CHINATOWN/INTERNATIONAL DISTRICT"
2024000000803,7,1,EAST,-122.31276625,47.61528704,"2024-01-01 20:32:35",33,191,33,"CENTRAL AREA/SQUIRE PARK"
2024000000804,1,1,WEST,-122.33847039,47.62028978,"2024-01-01 20:33:05",90,459,90,SLU/CASCADE
2024000000805,2,2,EAST,-122.31249381,47.59832941,"2024-01-01 20:36:00",390,929,390,"JUDKINS PARK/NORTH BEACON HILL"
2024000000808,1,3,EAST,-122.31413391,47.59961049,"2024-01-01 20:39:56",99,99,99,"JUDKINS PARK/NORTH BEACON HILL"
2024000000810,2,2,NORTH,-122.34191633,47.69816152,"2024-01-01 20:46:46",6317,6957,6317,NORTHGATE
2024000000813,2,1,EAST,-122.32091522,47.62255849,"2024-01-01 20:50:22",36,398,36,"CAPITOL HILL"
2024000000815,1,2,EAST,-122.31014493,47.61702721,"2024-01-01 20:51:27",2977,3066,2977,"CENTRAL AREA/SQUIRE PARK"
2024000000818,1,2,NORTH,-122.35773203,47.7177995,"2024-01-01 20:54:26",7198,7372,7198,BITTERLAKE
2024000000820,1,2,WEST,-122.34198361,47.61421579,"2024-01-01 21:00:00",2902,2919,2902,SLU/CASCADE
2024000000821,2,3,WEST,-122.34349377,47.61393611,"2024-01-01 21:00:41",15166,30527,15166,SLU/CASCADE
